id,gid,x,y,v_x,v_y,radius,time
1,1,5.206193,5.148821,-0.699453,-0.610646,0.500000,2.500000
2,2,0.031140,6.553005,0.109534,-1.463248,0.500000,2.500000
3,3,-4.431518,4.712165,1.536794,-0.410221,0.500000,2.500000
4,4,-6.803412,-0.133738,0.703060,0.395175,0.500000,2.500000
5,5,-4.824188,-4.695964,1.041049,1.010140,0.500000,2.500000
6,6,-0.126602,-7.379556,-0.127617,1.168398,0.500000,2.500000
7,7,4.889160,-4.536459,-0.699170,0.666093,0.500000,2.500000
0,0,6.135115,0.173857,-1.138931,0.288309,0.500000,2.600000
1,1,5.134027,5.100029,-0.721656,-0.487922,0.500000,2.600000
2,2,0.053956,6.419832,0.228157,-1.331725,0.500000,2.600000
3,3,-4.286696,4.701449,1.448226,-0.107164,0.500000,2.600000
4,4,-6.729899,-0.094633,0.735127,0.391050,0.500000,2.600000
5,5,-4.743712,-4.585382,0.804760,1.105821,0.500000,2.600000
6,6,-0.146238,-7.240948,-0.196360,1.386080,0.500000,2.600000
7,7,4.817395,-4.468464,-0.717651,0.679951,0.500000,2.600000
0,0,6.062034,0.178126,-0.730803,0.042693,0.500000,2.700000
1,1,5.064436,5.048061,-0.695910,-0.519680,0.500000,2.700000
2,2,0.079742,6.283914,0.257862,-1.359179,0.500000,2.700000
3,3,-4.161160,4.694204,1.255358,-0.072450,0.500000,2.700000
4,4,-6.647763,-0.058782,0.821359,0.358508,0.500000,2.700000
5,5,-4.634188,-4.500147,1.095237,0.852354,0.500000,2.700000
6,6,-0.157381,-7.116907,-0.111435,1.240405,0.500000,2.700000
7,7,4.734536,-4.409671,-0.828595,0.587930,0.500000,2.700000
0,0,5.985752,0.186019,-0.762823,0.078928,0.500000,2.800000
1,1,4.985066,4.972487,-0.793705,-0.755740,0.500000,2.800000
2,2,0.085946,6.169929,0.062038,-1.139855,0.500000,2.800000
3,3,-4.034991,4.681388,1.261687,-0.128164,0.500000,2.800000
4,4,-6.537509,-0.027700,1.102541,0.310827,0.500000,2.800000
5,5,-4.531994,-4.407101,1.021937,0.930454,0.500000,2.800000
6,6,-0.169859,-7.023478,-0.124778,0.934288,0.500000,2.800000
7,7,4.652784,-4.381384,-0.817522,0.282877,0.500000,2.800000
0,0,5.885265,0.192600,-1.004874,0.065809,0.500000,2.900000
1,1,4.874703,4.890870,-1.103631,-0.816171,0.500000,2.900000
2,2,0.116325,6.060050,0.303789,-1.098786,0.500000,2.900000
3,3,-3.909040,4.690959,1.259511,0.095708,0.500000,2.900000
4,4,-6.446405,0.020543,0.911035,0.482429,0.500000,2.900000
5,5,-4.390913,-4.328371,1.410815,0.787308,0.500000,2.900000
6,6,-0.163799,-6.869413,0.060594,1.540651,0.500000,2.900000
7,7,4.572003,-4.326868,-0.807805,0.545154,0.500000,2.900000
0,0,5.765534,0.197994,-1.197305,0.053943,0.500000,3.000000
1,1,4.829414,4.801136,-0.452887,-0.897339,0.500000,3.000000
2,2,0.134830,5.956211,0.185050,-1.038390,0.500000,3.000000
3,3,-3.782974,4.693463,1.260662,0.025042,0.500000,3.000000
4,4,-6.358694,0.055050,0.877118,0.345069,0.500000,3.000000
5,5,-4.282377,-4.241775,1.085364,0.865950,0.500000,3.000000
6,6,-0.154065,-6.667396,0.097341,2.020177,0.500000,3.000000
7,7,4.505026,-4.262709,-0.669771,0.641591,0.500000,3.000000
0,0,5.639399,0.183749,-1.261350,-0.142453,0.500000,3.100000
1,1,4.755165,4.728884,-0.742484,-0.722522,0.500000,3.100000
2,2,0.149873,5.879370,0.150429,-0.768411,0.500000,3.100000
3,3,-3.639952,4.686435,1.430225,-0.070280,0.500000,3.100000
4,4,-6.242057,0.092426,1.166363,0.373760,0.500000,3.100000
5,5,-4.189213,-4.145701,0.931636,0.960746,0.500000,3.100000
6,6,-0.138080,-6.567978,0.159855,0.994174,0.500000,3.100000
7,7,4.444683,-4.200016,-0.603426,0.626931,0.500000,3.100000
0,0,5.495251,0.153969,-1.441477,-0.297796,0.500000,3.200000
1,1,4.715203,4.676631,-0.399626,-0.522525,0.500000,3.200000
2,2,0.150758,5.782964,0.008853,-0.964056,0.500000,3.200000
3,3,-3.534845,4.678414,1.051070,-0.080209,0.500000,3.200000
4,4,-6.133675,0.100619,1.083821,0.081924,0.500000,3.200000
5,5,-4.131751,-4.035804,0.574618,1.098967,0.500000,3.200000
6,6,-0.140480,-6.466590,-0.024001,1.013883,0.500000,3.200000
7,7,4.376756,-4.151443,-0.679273,0.485731,0.500000,3.200000
0,0,5.391588,0.149313,-1.036631,-0.046562,0.500000,3.300000
1,1,4.636869,4.597621,-0.783340,-0.790104,0.500000,3.300000
2,2,0.185830,5.694322,0.350717,-0.886423,0.500000,3.300000
3,3,-3.458281,4.637622,0.765639,-0.407917,0.500000,3.300000
4,4,-6.067861,0.100301,0.658145,-0.003173,0.500000,3.300000
5,5,-4.099503,-3.932832,0.322480,1.029721,0.500000,3.300000
6,6,-0.153338,-6.362186,-0.128578,1.044039,0.500000,3.300000
7,7,4.311202,-4.094882,-0.655538,0.565611,0.500000,3.300000
0,0,5.256801,0.143782,-1.347870,-0.055309,0.500000,3.400000
1,1,4.577532,4.519782,-0.593368,-0.778385,0.500000,3.400000
2,2,0.217210,5.555590,0.313805,-1.387325,0.500000,3.400000
3,3,-3.395733,4.578584,0.625482,-0.590384,0.500000,3.400000
4,4,-6.018389,0.111040,0.494719,0.107385,0.500000,3.400000
5,5,-4.049130,-3.829311,0.503727,1.035211,0.500000,3.400000
6,6,-0.182476,-6.247004,-0.291384,1.151819,0.500000,3.400000
7,7,4.256557,-4.050237,-0.546452,0.446449,0.500000,3.400000
0,0,5.157663,0.127279,-0.991380,-0.165033,0.500000,3.500000
1,1,4.497798,4.441215,-0.797336,-0.785673,0.500000,3.500000
2,2,0.214991,5.428168,-0.022197,-1.274216,0.500000,3.500000
3,3,-3.314965,4.504266,0.807681,-0.743176,0.500000,3.500000
4,4,-5.957449,0.126080,0.609399,0.150397,0.500000,3.500000
5,5,-3.981351,-3.738677,0.677792,0.906339,0.500000,3.500000
6,6,-0.207863,-6.147458,-0.253864,0.995461,0.500000,3.500000
7,7,4.202197,-3.985476,-0.543602,0.647606,0.500000,3.500000
0,0,5.055347,0.122164,-1.023164,-0.051152,0.500000,3.600000
1,1,4.421324,4.384449,-0.764747,-0.567665,0.500000,3.600000
2,2,0.224027,5.281963,0.090363,-1.462053,0.500000,3.600000
3,3,-3.263003,4.415842,0.519614,-0.884238,0.500000,3.600000
4,4,-5.886007,0.139611,0.714415,0.135309,0.500000,3.600000
5,5,-3.897618,-3.661802,0.837334,0.768755,0.500000,3.600000
6,6,-0.213355,-6.054837,-0.054930,0.926214,0.500000,3.600000
7,7,4.164985,-3.902564,-0.372121,0.829119,0.500000,3.600000
0,0,4.958243,0.116360,-0.971044,-0.058038,0.500000,3.700000
1,1,4.357064,4.333190,-0.642592,-0.512586,0.500000,3.700000
2,2,0.222999,5.113899,-0.010278,-1.680637,0.500000,3.700000
3,3,-3.194167,4.340366,0.688361,-0.754766,0.500000,3.700000
4,4,-5.786156,0.136448,0.998516,-0.031624,0.500000,3.700000
5,5,-3.819714,-3.621098,0.779042,0.407034,0.500000,3.700000
6,6,-0.203553,-5.970106,0.098029,0.847305,0.500000,3.700000
7,7,4.116593,-3.816386,-0.483918,0.861784,0.500000,3.700000
0,0,4.832308,0.103308,-1.259348,-0.130519,0.500000,3.800000
1,1,4.289272,4.267186,-0.677924,-0.660045,0.500000,3.800000
2,2,0.267948,4.963714,0.449486,-1.501848,0.500000,3.800000
3,3,-3.129695,4.298422,0.644721,-0.419439,0.500000,3.800000
4,4,-5.647936,0.136997,1.382202,0.005492,0.500000,3.800000
5,5,-3.721857,-3.520119,0.978564,1.009790,0.500000,3.800000
6,6,-0.179442,-5.860151,0.241108,1.099555,0.500000,3.800000
7,7,4.067111,-3.730129,-0.494823,0.862570,0.500000,3.800000
0,0,4.706579,0.086882,-1.257284,-0.164258,0.500000,3.900000
1,1,4.192952,4.221808,-0.963201,-0.453778,0.500000,3.900000
2,2,0.309381,4.791466,0.414329,-1.722482,0.500000,3.900000
3,3,-3.049957,4.239903,0.797384,-0.585191,0.500000,3.900000
4,4,-5.549131,0.115337,0.988046,-0.216602,0.500000,3.900000
5,5,-3.658249,-3.445896,0.636078,0.742235,0.500000,3.900000
6,6,-0.156585,-5.761330,0.228569,0.988211,0.500000,3.900000
7,7,4.009883,-3.634447,-0.572283,0.956823,0.500000,3.900000
0,0,4.657322,0.088312,-0.492575,0.014299,0.500000,4.000000
1,1,4.131435,4.173776,-0.615172,-0.480317,0.500000,4.000000
2,2,0.323905,4.613620,0.145242,-1.778459,0.500000,4.000000
3,3,-2.971620,4.143429,0.783369,-0.964739,0.500000,4.000000
4,4,-5.402418,0.101052,1.467130,-0.142853,0.500000,4.000000
5,5,-3.579182,-3.372043,0.790675,0.738532,0.500000,4.000000
6,6,-0.149828,-5.683295,0.067571,0.780342,0.500000,4.000000
7,7,3.961341,-3.572336,-0.485415,0.621111,0.500000,4.000000
0,0,4.562359,0.110380,-0.949632,0.220682,0.500000,4.100000
1,1,4.074114,4.102226,-0.573205,-0.715501,0.500000,4.100000
2,2,0.405633,4.461579,0.817279,-1.520407,0.500000,4.100000
3,3,-2.884272,4.037738,0.873475,-1.056904,0.500000,4.100000
4,4,-5.270283,0.128368,1.321348,0.273164,0.500000,4.100000
5,5,-3.523634,-3.294872,0.555482,0.771704,0.500000,4.100000
6,6,-0.164240,-5.615685,-0.144122,0.676104,0.500000,4.100000
7,7,3.878152,-3.533636,-0.831886,0.386997,0.500000,4.100000
0,0,4.437857,0.124230,-1.245018,0.138499,0.500000,4.200000
1,1,4.015791,4.035475,-0.583235,-0.667506,0.500000,4.200000
2,2,0.429907,4.321318,0.242740,-1.402612,0.500000,4.200000
3,3,-2.798762,3.973524,0.855097,-0.642148,0.500000,4.200000
4,4,-5.136688,0.164681,1.335949,0.363121,0.500000,4.200000
5,5,-3.477210,-3.214009,0.464241,0.808636,0.500000,4.200000
6,6,-0.179757,-5.518812,-0.155173,0.968725,0.500000,4.200000
7,7,3.797862,-3.494042,-0.802902,0.395943,0.500000,4.200000
0,0,4.363160,0.138009,-0.746966,0.137792,0.500000,4.300000
1,1,3.961286,3.947680,-0.545045,-0.877949,0.500000,4.300000
2,2,0.482096,4.187464,0.521893,-1.338539,0.500000,4.300000
3,3,-2.712969,3.873624,0.857938,-0.999002,0.500000,4.300000
4,4,-4.999623,0.187639,1.370655,0.229588,0.500000,4.300000
5,5,-3.392248,-3.134230,0.849619,0.797782,0.500000,4.300000
6,6,-0.183296,-5.440291,-0.035386,0.785209,0.500000,4.300000
7,7,3.728553,-3.439704,-0.693097,0.543372,0.500000,4.300000
0,0,4.263735,0.141273,-0.994252,0.032634,0.500000,4.400000
1,1,3.889573,3.895974,-0.717130,-0.517067,0.500000,4.400000
2,2,0.545862,4.055158,0.637660,-1.323064,0.500000,4.400000
3,3,-2.635544,3.773276,0.774245,-1.003476,0.500000,4.400000
4,4,-4.855067,0.215218,1.445558,0.275789,0.500000,4.400000
5,5,-3.306905,-3.062921,0.853430,0.713090,0.500000,4.400000
6,6,-0.181602,-5.347886,0.016937,0.924051,0.500000,4.400000
7,7,3.639674,-3.351102,-0.888783,0.886019,0.500000,4.400000
0,0,4.112693,0.128201,-1.510422,-0.130717,0.500000,4.500000
1,1,3.796864,3.854787,-0.927096,-0.411867,0.500000,4.500000
2,2,0.568739,3.983490,0.228770,-0.716679,0.500000,4.500000
3,3,-2.547845,3.668351,0.876988,-1.049248,0.500000,4.500000
4,4,-4.706044,0.237396,1.490225,0.221775,0.500000,4.500000
5,5,-3.265248,-3.008356,0.416567,0.545658,0.500000,4.500000
6,6,-0.171312,-5.265375,0.102905,0.825117,0.500000,4.500000
7,7,3.525392,-3.252009,-1.142823,0.990938,0.500000,4.500000
0,0,4.034238,0.147062,-0.784552,0.188610,0.500000,4.600000
1,1,3.692760,3.838344,-1.041036,-0.164432,0.500000,4.600000
2,2,0.585001,3.904673,0.162625,-0.788173,0.500000,4.600000
3,3,-2.464555,3.569693,0.832906,-0.986585,0.500000,4.600000
4,4,-4.592265,0.234258,1.137792,-0.031380,0.500000,4.600000
5,5,-3.224762,-2.956510,0.404858,0.518454,0.500000,4.600000
6,6,-0.172080,-5.154871,-0.007685,1.105039,0.500000,4.600000
7,7,3.429584,-3.156813,-0.958085,0.951959,0.500000,4.600000
0,0,3.950927,0.164406,-0.833102,0.173438,0.500000,4.700000
1,1,3.648535,3.786879,-0.442253,-0.514650,0.500000,4.700000
2,2,0.574329,3.834941,-0.106728,-0.697319,0.500000,4.700000
3,3,-2.396089,3.473323,0.684657,-0.963692,0.500000,4.700000
4,4,-4.490892,0.213113,1.013736,-0.211448,0.500000,4.700000
5,5,-3.172260,-2.894888,0.525017,0.616225,0.500000,4.700000
6,6,-0.173048,-5.029895,-0.009680,1.249762,0.500000,4.700000
7,7,3.337561,-3.079768,-0.920229,0.770450,0.500000,4.700000
0,0,3.815650,0.186513,-1.352773,0.221070,0.500000,4.800000
1,1,3.596153,3.739392,-0.523823,-0.474870,0.500000,4.800000
2,2,0.558000,3.761283,-0.163284,-0.736573,0.500000,4.800000
3,3,-2.362935,3.339524,0.331540,-1.337994,0.500000,4.800000
4,4,-4.351736,0.196642,1.391558,-0.164709,0.500000,4.800000
5,5,-3.060211,-2.806105,1.120492,0.887830,0.500000,4.800000
6,6,-0.133675,-4.927517,0.393731,1.023774,0.500000,4.800000
7,7,3.227282,-2.993919,-1.102785,0.858491,0.500000,4.800000
0,0,3.721811,0.229134,-0.938392,0.426208,0.500000,4.900000
1,1,3.531152,3.685959,-0.650009,-0.534329,0.500000,4.900000
2,2,0.544566,3.680393,-0.134346,-0.808902,0.500000,4.900000
